"ProvRoute","Year","Ponds"
"4309",1991,8.25
"4309",1992,4.25
"4309",1993,15.25
"4309",1994,8.5
"4309",1995,8
"4309",1996,16
"4309",1997,11.25
"4309",1998,8.5
"4309",1999,7.25
"4309",2000,7.5
"4309",2001,6.75
"4309",2002,6
"4309",2003,11.75
"4309",2004,7.75
"4309",2005,7.5
"4309",2006,22.25
"4309",2007,24
"4309",2008,7.75
"4309",2009,9.5
"4309",2010,10.75
"4309",2011,16.75
"4309",2012,6.75
"4309",2013,8.75
"4309",2014,18.75
"4309",2015,8
"4309",2016,6
"4309",2017,8.5
"4309",2018,13.25
"4309",2019,7.25
"4309",2022,4.75
"4060",1969,24
"4060",1970,23
"4060",1971,58
"4060",1972,60
"4060",1973,59
"4060",1974,113
"4060",1975,32
"4060",1976,38
"4060",1977,53
"4060",1978,38
"4060",1979,61
"4060",1980,43
"4060",1981,59
"4060",1982,68
"4060",1983,41
"4060",1984,39
"4060",1985,63
"4060",1986,45
"4060",1987,31
"4060",1988,24
"4060",1989,37
"4060",1990,69
"4060",1991,84
"4060",1992,44
"4060",1993,58
"4060",1994,44
"4060",1995,31
"4060",1996,48
"4060",1997,69
"4060",1998,52
"4060",1999,47
"4060",2000,40
"4060",2001,20
"4060",2002,55
"4060",2003,32
"4060",2004,36
"4060",2005,73
"4060",2006,56
"4060",2007,17
"4060",2008,39
"4060",2009,18
"4060",2010,22
"4060",2011,20
"4060",2012,15
"4060",2013,34
"4060",2014,39
"4060",2015,26
"4060",2016,27
"4060",2017,35
"4060",2018,27
"4060",2019,36
"4060",2022,32
"4308",1969,9
"4308",1970,7
"4308",1971,7
"4308",1972,10.3333333333333
"4308",1973,12.3333333333333
"4308",1974,20
"4308",1975,12
"4308",1976,8
"4308",1977,5.66666666666667
"4308",1978,6.33333333333333
"4308",1979,5.66666666666667
"4308",1980,12.3333333333333
"4308",1981,9.33333333333333
"4308",1982,8.33333333333333
"4308",1983,9.33333333333333
"4308",1984,7
"4308",1985,12
"4308",1986,6
"4308",1987,12
"4308",1988,10.6666666666667
"4308",1989,10.6666666666667
"4308",1990,10.6666666666667
"4308",1991,10.3333333333333
"4308",1992,7.33333333333333
"4308",1993,13.6666666666667
"4308",1994,9.66666666666667
"4308",1995,8.66666666666667
"4308",1996,18.6666666666667
"4308",1997,17
"4308",1998,10.6666666666667
"4308",1999,4.66666666666667
"4308",2000,8
"4308",2001,7
"4308",2002,10
"4308",2003,24
"4308",2004,12.6666666666667
"4308",2005,10
"4308",2006,36.6666666666667
"4308",2007,39.6666666666667
"4308",2008,9.66666666666667
"4308",2009,11.6666666666667
"4308",2010,12.3333333333333
"4308",2011,18.3333333333333
"4308",2012,8.66666666666667
"4308",2013,19.3333333333333
"4308",2014,29.3333333333333
"4308",2015,9.33333333333333
"4308",2016,6.33333333333333
"4308",2017,10.6666666666667
"4308",2018,21
"4308",2019,11.6666666666667
"4308",2022,5.66666666666667
"4311",1969,20.5
"4311",1970,23.5
"4311",1971,18
"4311",1972,5.5
"4311",1973,19.5
"4311",1974,55.5
"4311",1975,24.5
"4311",1976,20.5
"4311",1977,3.5
"4311",1978,9.5
"4311",1979,13.5
"4311",1980,5.5
"4311",1981,4.5
"4311",1982,24
"4311",1983,17
"4311",1984,5
"4311",1985,29.5
"4311",1986,8
"4311",1987,16.5
"4311",1988,5.5
"4311",1989,8.5
"4311",1990,7.5
"4311",1991,5.5
"4311",1992,9
"4311",1993,27.5
"4311",1994,16
"4311",1995,5
"4311",1996,16
"4311",1997,28
"4311",1998,5.5
"4311",1999,5.5
"4311",2000,6
"4311",2001,7
"4311",2002,7
"4311",2003,21
"4311",2004,3.5
"4311",2005,11.5
"4311",2006,44
"4311",2007,39
"4311",2008,12.5
"4311",2009,2.5
"4311",2010,9.5
"4311",2011,43.5
"4311",2012,17.5
"4311",2013,60
"4311",2014,27.5
"4311",2015,21.5
"4311",2016,17
"4311",2017,21
"4311",2018,36.5
"4311",2019,20
"4311",2022,9.5
"4304",1969,8
"4304",1970,9
"4304",1971,9
"4304",1972,11.5
"4304",1973,11.5
"4304",1974,11
"4304",1975,10.5
"4304",1976,9.5
"4304",1977,8
"4304",1978,12
"4304",1979,11.5
"4304",1980,6
"4304",1981,11.5
"4304",1982,11
"4304",1983,9
"4304",1984,6.5
"4304",1985,8
"4304",1986,10.5
"4304",1987,7
"4304",1988,13.5
"4304",1989,13
"4304",1990,12
"4304",1991,11
"4304",1992,7
"4304",1993,10.5
"4304",1994,14
"4304",1995,20.5
"4304",1996,17
"4304",1997,12.5
"4304",1998,10
"4304",1999,7.5
"4304",2000,8
"4304",2001,10.5
"4304",2002,14
"4304",2003,21.5
"4304",2004,8.5
"4304",2005,10.5
